what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177717473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177717984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718287
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177718407
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177718407
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177718426
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177718427
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@8614598 threw following exception during adapter notification (ADD )",1280177718428
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@2a200274 threw following exception during adapter notification (ADD )",1280177718429
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177718430
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177718431
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177718432
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177718433
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@8614598 threw following exception during adapter notification (ADD )",1280177718433
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@2a200274 threw following exception during adapter notification (ADD )",1280177718434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718435
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718553
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177718660
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177718661
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177718662
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177718662
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@8614598 threw following exception during adapter notification (ADD )",1280177718663
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@2a200274 threw following exception during adapter notification (ADD )",1280177718664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718665
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718875
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177718930
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177718931
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177718931
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177718932
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@8614598 threw following exception during adapter notification (ADD )",1280177718933
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@2a200274 threw following exception during adapter notification (ADD )",1280177718933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177718934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177719045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177719149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1280177719231
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177719320
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177719320
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177719321
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177719322
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@8614598 threw following exception during adapter notification (ADD )",1280177719322
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@2a200274 threw following exception during adapter notification (ADD )",1280177719323
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@365c8eae threw following exception during adapter notification (ADD )",1280177719324
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@769b5d63 threw following exception during adapter notification (ADD )",1280177719325
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@3ccd3b88 threw following exception during adapter notification (ADD )",1280177719326
error,log,,,"A structured model client, org.maven.ide.components.pom.translators.ListAdapter@45ff7ce7 threw following exception during adapter notification (ADD )",1280177719336
